,male,female,id
ageCat6,1844,2324, 
ageCat7,908,1213, 
ageCat8,456,730, 
, , , 
ageCat1,1178,1071,zcta93
ageCat2,3612,3488, 
ageCat3,2829,2772, 
ageCat4,3538,4157, 
ageCat5,4945,4963, 
ageCat6,1832,1885, 
ageCat7,858,851, 
ageCat8,328,490, 
, , , 
ageCat1,1139,1061,zcta94
ageCat2,3184,3049, 
ageCat3,3257,3349, 
ageCat4,3576,4094, 
ageCat5,3379,3485, 
ageCat6,977,1191, 
ageCat7,539,733, 
ageCat8,352,609, 
, , , 
ageCat1,949,939,zcta95
ageCat2,1842,1779, 
ageCat3,2795,2506, 
ageCat4,2401,2493, 
ageCat5,1987,1979, 
ageCat6,610,651, 
ageCat7,268,329, 
ageCat8,143,231, 
, , , 
ageCat1,123,115,zcta96
ageCat2,175,209, 
ageCat3,1123,1168, 
ageCat4,1242,788, 
ageCat5,1166,666, 
ageCat6,302,220, 
ageCat7,83,85, 
ageCat8,51,79, 
, , , 
ageCat1,91,67,zcta97
ageCat2,114,118, 
ageCat3,2015,1224, 
ageCat4,1729,706, 
ageCat5,1278,656, 
ageCat6,521,351, 
ageCat7,271,260, 
ageCat8,190,331, 
, , , 
ageCat1,1118,1065,zcta98
ageCat2,1815,1730, 
ageCat3,3010,3115, 
ageCat4,2569,2299, 
ageCat5,2461,2333, 
ageCat6,868,866, 
ageCat7,410,474, 
ageCat8,203,344, 
, , , 
ageCat1,277,231,zcta99
ageCat2,356,376, 
ageCat3,2157,2526, 
ageCat4,2240,1966, 
ageCat5,1542,1436, 
ageCat6,655,692, 
ageCat7,235,309, 
ageCat8,155,426, 
, , , 
ageCat1,444,454,zcta100
ageCat2,713,752, 
ageCat3,1669,1893, 
ageCat4,1473,1555, 
ageCat5,1185,1337, 
ageCat6,465,528, 
ageCat7,231,384, 
ageCat8,146,305, 
, , , 
ageCat1,636,652,zcta101
ageCat2,993,1054, 
ageCat3,1595,1909, 
ageCat4,2264,2298, 
ageCat5,2096,2448, 
ageCat6,995,1149, 
ageCat7,419,478, 
ageCat8,276,549, 
, , , 
