"","male","female","",""
"ageCat4","4.61349886068987","16.8557941626222","",""
"ageCat5","18.4413783049224","18.1845543749047","",""
"ageCat6","9.76145203111495","11.0684371807967","",""
"ageCat7","4.73213217206303","15.7239444888374","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.time",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","65.7349397590362","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.999614201723595","0.995057078969048","relative.walk.speed",""
"ageCat2","0.998847545561192","0.999107195129091","",""
"ageCat3","0.996593069399237","1","",""
"ageCat4","0.996462516238304","0.997067589079463","",""
"ageCat5","0.998549224944826","0.99569599887703","",""
"ageCat6","0.997943674700635","0.996554694229113","",""
"ageCat7","0.996629045823273","0.997529650205679","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0","0","relative.cycle.speed",""
"ageCat2","0","0","",""
"ageCat3","0","1","",""
"ageCat4","0","0","",""
"ageCat5","999.633431085044","0","",""
"ageCat6","0","0","",""
"ageCat7","0","0","",""
"ageCat8","0","0","",""
"","","","",""
"ageCat1","0.473180104354651","0.403862303698347","relative.walk.time","zcta13"
"ageCat2","0.68017613673876","0.934335316288021","",""
"ageCat3","0.710589257603778","1","",""
"ageCat4","0.624250482083127","0.894701155510016","",""
"ageCat5","0.624667830553486","0.883088231445245","",""
"ageCat6","0.66633862171621","0.719405379205206","",""
"ageCat7","0.658989133980951","0.835092829162881","",""
"ageCat8","0.663764557418767","0.764896134678695","",""
"","","","",""
"ageCat1","0.235674820276071","0.112636966585504","relative.cycle.time",""
"ageCat2","0.823862250933425","0.600903113396749","",""
"ageCat3","1.32434070364711","1","",""
"ageCat4","0.812679500756646","0.50044410245408","",""
"ageCat5","0.593829552367556","0.452608643824661","",""
"ageCat6","0.492515793196448","0.386135212806668","",""
"ageCat7","0.352919869609196","0.257224391694942","",""
"ageCat8","0.385671768438798","0.182639624960474","",""
"","","","",""
"ageCat1","0.99949583737939","0.999838721590419","relative.walk.speed",""
"ageCat2","0.999967377941014","0.999867258413347","",""
"ageCat3","1.00002897137697","1","",""
"ageCat4","0.999934275771145","0.999903704102238","",""
"ageCat5","0.999945784401798","1.00000573241028","",""
"ageCat6","0.999685553471291","0.999900139396835","",""
"ageCat7","0.99993456070307","0.999604754579355","",""
"ageCat8","0.999765681392212","1.0001781791023","",""
"","","","",""
"ageCat1","0.999844081079764","0.999929401320824","relative.cycle.speed",""
"ageCat2","0.999899525039994","0.999854003623274","",""
"ageCat3","0.999963219150461","1","",""
"ageCat4","0.999855126684748","0.999879637254443","",""
"ageCat5","0.999846286332232","0.999856182639823","",""
"ageCat6","0.999859570956532","0.999813866259775","",""
"ageCat7","0.999762150493427","0.999791260297729","",""
"ageCat8","0.999714452174509","1.00000930732332","",""
"","","","",""
"ageCat1","0.52361482346528","0.447979566389464","relative.walk.time","zcta14"
"ageCat2","0.879075470384224","1.14054172120411","",""
"ageCat3","0.775696808717467","1","",""
"ageCat4","0.867626939047848","1.1337727708689","",""
"ageCat5","0.830949675483193","1.18518132577269","",""
"ageCat6","0.998939406654843","1.12812602658167","",""
"ageCat7","0.606279600145223","1.04701121064256","",""
"ageCat8","0.926320974874313","0.974592540432702","",""
"","","","",""
"ageCat1","0.221190464638094","0.127648084136676","relative.cycle.time",""
"ageCat2","0.856317334660807","0.632092790561909","",""
"ageCat3","1.31486332005686","1","",""
"ageCat4","0.585650553971232","0.329290312044472","",""
"ageCat5","0.390957826997422","0.261518778689949","",""
"ageCat6","0.273613970819549","0.231506218516183","",""
"ageCat7","0.217469024212635","0.153035358918608","",""
"ageCat8","0.24595008656429","0.135327000988618","",""
"","","","",""
"ageCat1","0.999887740680155","1.0005465899696","relative.walk.speed",""
"ageCat2","1.00018611844229","1.00016164290573","",""
"ageCat3","1.00007520976569","1","",""
"ageCat4","1.00010495574738","0.999900418217109","",""
"ageCat5","1.00018235937109","0.999939372735231","",""
"ageCat6","1.00023636741426","0.999847409713082","",""
"ageCat7","0.999698122721005","0.999855927210493","",""
"ageCat8","1.0002986542296","0.999774663724896","",""
"","","","",""
"ageCat1","1.00026191494552","0.999992321039956","relative.cycle.speed",""
"ageCat2","0.999906014069284","0.999939587592206","",""
"ageCat3","0.999990224351428","1","",""
"ageCat4","1.00001821455349","1.00000400283707","",""
"ageCat5","0.999989456078965","1.00004730664832","",""
"ageCat6","0.999922545193327","1.0000278833082","",""
"ageCat7","1.00014848123228","1.0001352629243","",""
"ageCat8","0.999984513985347","0.999801273716057","",""
"","","","",""
"ageCat1","0.114141680268349","0.274273914362409","relative.walk.time","zcta15"
"ageCat2","2.05197419839202","1.62430959907473","",""
"ageCat3","0.910840093099706","1","",""
"ageCat4","0.457707215627251","0.909640629385599","",""
"ageCat5","1.19821147494371","0.723328039304662","",""
"ageCat6","0.766659023341705","0.631316025934941","",""
"ageCat7","0.893482875330938","0.592956040855358","",""
"ageCat8","1.0487364358022","0.582831857094532","",""
"","","","",""
"ageCat1","0","0.395875331308402","relative.cycle.time",""
"ageCat2","4.19307422126214","0.619308946581674","",""
