,,Age std changes of death from PA,,,,,,,Age std changes of deaths from TI,,,,,,,Age std changes of DALYs from PA,,,,,,,Age std changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta55,95673,-5.664735001,-10.52707819,-6.782435504,-4.314262056,-9.935559855,-4.975789786,,-0.359328405,0.196267778,0.197793683,-0.11087976,0.137814162,0.139545938,,-4.520708594,-8.761370656,-6.751317387,-5.223526833,-8.873171632,-3.7930025,,-18.78135242,9.819080132,10.06581965,-5.531485281,7.154700991,6.772451549
zcta56,95674,-0.097258263,0.058366027,-0.152845671,-0.871265671,-1.060119868,-2.003924169,,-2.124664511,0.619682929,0.113673831,-0.463655956,0.425731231,-0.038276518,,-0.025710752,0.048927855,-0.029910298,-0.260800836,-0.110926629,-0.291511036,,-109.3157372,30.73253716,5.234688307,-24.87903184,20.88073369,-2.76294463
zcta57,95677,-1.320527228,-6.593905918,-1.645006244,-0.885750385,-1.194936921,-7.243505634,,-0.431527897,0.386809669,0.386228082,0.224234428,0.437534244,0.495158593,,-2.579259788,-14.05472299,-6.396516851,-2.456798529,-3.579512073,-17.91952808,,-22.3127233,20.25332234,19.74825729,11.33168043,22.44969989,25.63728963
zcta58,95678,0.159734849,0.087703866,-1.41316443,0.568014755,0.073303029,0.536490941,,-0.487699939,0.441749201,0.271378162,0.098344863,0.322959202,0.288396186,,-0.391393226,-4.267193006,-9.539905935,-1.208825227,-2.855690899,-1.214245782,,-25.1319668,23.08373463,14.23678171,5.074768498,16.65058448,14.88048277
zcta59,95679,0.506136363,1.438811946,1.354252585,0.655268606,0.015118585,-2.587012744,,-2.246997947,0.995220005,1.642404355,1.824686176,2.464001924,2.165437886,,0.014909143,0.029931928,0.024158714,0.003152461,-0.011341141,-0.043735021,,-119.1157892,54.93667687,86.9761312,95.38328266,129.4836698,114.1573451
zcta60,95680,1.140744046,-29.19896113,-7.748252593,1.731049693,3.141272351,2.970202361,,-0.075933667,0.534727185,1.273009266,1.071136451,1.632017036,-0.554665251,,0.017993064,-0.684418864,-0.331567857,0.04671003,0.122273557,0.113627317,,-6.268014531,25.14714125,61.93189506,51.4081102,80.52271521,-31.72585134
zcta61,95681,-0.233823224,-0.496508227,-0.120184606,-0.446132511,-0.117616778,-0.036494096,,-0.797046774,0.681993779,-0.267244496,0.387308762,-0.027329659,0.466835893,,-0.165931999,-0.310937824,-0.045920808,-0.182051134,-0.093310249,-0.070388634,,-40.84408075,35.26773024,-12.79953925,20.10741737,-0.392843013,24.1699486
zcta62,95682,-5.180025579,-6.249697792,-6.193553587,-0.826683154,-1.14790985,-4.809657636,,-1.03489533,0.517833527,0.235300258,0.189691194,0.572510167,0.545470288,,-14.75179092,-18.68767799,-19.4955999,-4.825900386,-8.603213019,-15.56918549,,-52.67807706,26.86035135,12.37322821,9.720452458,29.83535877,28.15586081
zcta63,95683,-0.170281434,-0.212300878,-1.393356285,-0.42288985,-0.19338202,-0.251605984,,-0.090513906,1.536425264,0.580186858,2.200619415,1.370312329,1.056501888,,-0.107979243,-0.917744262,-1.684516619,-0.567518366,-0.517575196,-0.638475915,,-4.619119307,79.30924993,30.1568991,113.0971941,70.4342135,54.24091592
zcta64,95684,-1.042340534,0.305521709,0.406739124,-5.243110739,-0.360403335,-6.238819892,,-3.95301239,-0.919931347,-0.073924841,-0.021669415,-0.556514149,-0.630432799,,-1.024586395,-0.252121423,0.115348724,-1.58196096,0.125211176,-2.708991543,,-202.1006185,-46.73932135,-3.724656549,0.000603161,-28.63218768,-31.45601774
zcta65,95690,0.610401784,-0.106884665,-4.516234664,-1.487946863,1.073225147,-8.923354322,,-2.400927601,0.466553179,0.926570075,0.964409308,0.040185623,0.404753178,,-0.449294795,-0.511623834,-1.305965088,-1.905173625,0.180904373,-2.106995516,,-123.5754376,24.18395197,47.38734709,49.72663943,1.868539418,20.52821591
zcta66,95691,-3.043287125,-6.268598497,-14.30471832,-6.62068477,-12.54976409,-6.826834089,,-0.406210229,1.359792643,0.850941976,0.337934921,0.988673848,0.699175483,,-11.44651497,-28.63228485,-55.7374713,-31.99060123,-47.16664,-35.75689996,,-20.32800207,71.77747155,44.88776929,18.96850061,52.49061373,37.75946944
zcta67,95692,6.307770275,5.383306867,3.503655649,3.574466018,3.484816768,2.078696089,,-2.746978089,0.062886506,0.034375631,0.163807211,0.389391759,0.343180969,,2.098359319,1.124306632,0.525897428,0.627200045,0.628791068,0.339961043,,-140.4675689,3.905962948,2.223263144,8.485584035,20.29907809,17.98150194
zcta68,95693,-1.251565898,-1.101375144,-0.718359601,0.106310255,0.052642846,-0.090278707,,-0.622696717,0.113238166,0.123772808,0.230861892,-0.034877776,0.091125343,,-2.841507424,-1.61599907,-0.858120704,-0.197558761,0.089536614,-0.838839543,,-31.2075607,5.91579326,6.600859073,12.07161133,-1.632998181,4.973810219
zcta69,95694,2.892277218,0.34969403,1.064762429,-0.080216687,-0.528939421,-0.415585412,,-4.975389179,-0.578633272,-0.598326707,-0.523816062,-0.468476115,-0.456346785,,1.995564028,0.382707887,0.250357314,-0.5730223,-1.081471113,-1.424610041,,-255.6762385,-29.63168567,-30.78753758,-26.20040453,-23.67927118,-23.11040006
zcta70,95695,4.345528064,4.503351817,3.566272191,4.544055664,4.771324557,4.411170039,,-2.256941803,0.117521271,-0.121941579,0.02032492,-0.017939741,0.069204929,,16.47025228,13.33884464,8.460638801,17.06247303,16.69520104,12.58319857,,-116.4983373,5.582942987,-6.804980743,0.59711262,-1.293067181,3.397568312
