,,Absulte changes of death from PA,,,,,,,Absulte changes of deaths from TI,,,,,,,Absulte changes of DALYs from PA,,,,,,,Absulte changes of DALYs from TI,,,,,
ID,zcta,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3,,2020,2027,2036,S1,S2,S3
zcta58,95678,0.062404941,0.059149423,-0.47189139,0.239773223,0.048799459,0.213376821,,-0.193714014,0.175462419,0.107791182,0.039062499,0.128279129,0.114550728,,-0.391393226,-4.267193006,-9.539905935,-1.208825227,-2.855690899,-1.214245782,,-10.4890976,9.629180514,5.93787807,2.1179001,6.949174797,6.210229668
zcta59,95679,0.000398717,0.000973238,0.000896781,0.000461581,-0.000526275,-0.001400117,,-0.00150518,0.000666661,0.001100185,0.001222289,0.001650543,0.001450546,,0.014909143,0.029931928,0.024158714,0.003152461,-0.011341141,-0.043735021,,-0.07094167,0.032766134,0.051798333,0.056777966,0.077091672,0.06797472
zcta60,95680,0.000363458,-0.037845853,-0.007300305,0.001135427,0.002430003,0.002256619,,-0.000105077,0.000739952,0.001761583,0.001482232,0.002258376,-0.000767543,,0.017993064,-0.684418864,-0.331567857,0.04671003,0.122273557,0.113627317,,-0.008420843,0.034215454,0.084182874,0.069905158,0.109409689,-0.042941707
zcta61,95681,-0.003008877,-0.006596919,-0.001319344,-0.00526122,-0.001651498,-0.000593642,,-0.009709578,0.008308009,-0.003255557,0.004718173,-0.000332928,0.005686968,,-0.165931999,-0.310937824,-0.045920808,-0.182051134,-0.093310249,-0.070388634,,-0.501263906,0.432925129,-0.156810227,0.246850205,-0.00451318,0.296704203
zcta62,95682,-1.50844955,-1.785446613,-1.819024047,-0.302071198,-0.412499678,-1.358342741,,-0.301598506,0.150911705,0.068573318,0.055281514,0.166846063,0.158965858,,-14.75179092,-18.68767799,-19.4955999,-4.825900386,-8.603213019,-15.56918549,,-14.4567063,7.382723684,3.404569724,2.669092653,8.203493019,7.735749947
zcta63,95683,-0.019398973,-0.025820685,-0.140981877,-0.045466084,-0.022687869,-0.030770541,,-0.005849204,0.099287117,0.037492927,0.142208777,0.088552541,0.068273433,,-0.107979243,-0.917744262,-1.684516619,-0.567518366,-0.517575196,-0.638475915,,-0.251305416,4.324929179,1.646826146,6.161980633,3.837636248,2.954635228
zcta64,95684,-0.044645055,0.001901176,0.012624705,-0.142073911,-0.010221883,-0.193108255,,-0.140996084,-0.03281212,-0.002636752,-0.000772905,-0.019849752,-0.022486283,,-1.024586395,-0.252121423,0.115348724,-1.58196096,0.125211176,-2.708991543,,-6.444072982,-1.488358696,-0.118398134,0.007387256,-0.91414719,-0.997836327
zcta65,95690,0.009903106,-0.002769441,-0.113472855,-0.048981673,0.028228572,-0.235440641,,-0.061861286,0.012021012,0.023873613,0.024848563,0.001035406,0.010428699,,-0.449294795,-0.511623834,-1.305965088,-1.905173625,0.180904373,-2.106995516,,-3.097810003,0.606397309,1.187647589,1.246633723,0.046665209,0.514337212
zcta66,95691,-0.732029234,-1.534761524,-3.459935268,-1.624503202,-3.026699099,-1.687010099,,-0.132557214,0.443736548,0.277685025,0.110277163,0.322630603,0.228159578,,-11.44651497,-28.63228485,-55.7374713,-31.99060123,-47.16664,-35.75689996,,-7.046639788,24.85441443,15.54351039,6.560463907,18.17386538,13.0691258
zcta67,95692,0.238448043,0.196595394,0.125552084,0.13006395,0.128047626,0.076956385,,-0.125091866,0.002863725,0.001565397,0.007459451,0.017732119,0.015627772,,2.098359319,1.124306632,0.525897428,0.627200045,0.628791068,0.339961043,,-6.56739234,0.182328266,0.103750212,0.396687327,0.94889604,0.840521445
zcta68,95693,-0.111444899,-0.079715174,-0.054035129,0.006104186,0.00716515,-0.015106368,,-0.042132096,0.007661774,0.008374555,0.015620278,-0.002359855,0.006165605,,-2.841507424,-1.61599907,-0.858120704,-0.197558761,0.089536614,-0.838839543,,-1.980663156,0.377148498,0.421730047,0.76967271,-0.102835616,0.318529569
zcta69,95694,0.207695385,0.034859609,0.068492242,-0.008677093,-0.027826988,-0.030562813,,-0.451534653,-0.052513073,-0.054300323,-0.047538212,-0.04251591,-0.04141513,,1.995564028,0.382707887,0.250357314,-0.5730223,-1.081471113,-1.424610041,,-23.91941183,-2.772202827,-2.880261096,-2.451517891,-2.215487075,-2.162238516
zcta70,95695,1.945550612,2.05898025,1.627682232,2.041008818,2.136285739,1.998228036,,-0.861256994,0.044846534,-0.046533339,0.007756062,-0.006845869,0.026408846,,16.47025228,13.33884464,8.460638801,17.06247303,16.69520104,12.58319857,,-43.73075701,2.096334405,-2.55376748,0.224729464,-0.484910309,1.275594766
zcta71,95697,0.000342851,0.000434695,0.000434703,0.000434712,0.000380623,-0.014493785,,0.003041811,0.018349762,0.002424049,0.016926852,0.010356397,0.019314298,,0.033237431,0.059798328,0.059800785,0.059803188,0.044160878,-0.775055086,,0.151304936,0.962883974,0.125383536,0.87110281,0.532462024,1.008451254
